Chapter,Section,Subsection,Subsubsection,Chapter Filecase,Section Filecase,Subsection Filecase,Subsubsection Filecase,Lesson Plan Path,Step By Step Guide Path,Lesson Plan Exists,Step By Step Guide Exists,LO 1,LO 2,LO 3,LO 4,Course URL
Numbers and Algebra,Real Numbers,Classification of Numbers,Even and Odd Numbers,numbers-and-algebra,real-numbers,classification-of-numbers,even-and-odd-numbers,numbers-and-algebra/real-numbers/even-and-odd-numbers.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_even-and-odd-numbers.pdf,YES,YES,"Classify whole numbers as odd, even, prime and composite in different situations",,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Classification of Numbers,Prime and Composite Numbers,numbers-and-algebra,real-numbers,classification-of-numbers,prime-and-composite-numbers,numbers-and-algebra/real-numbers/prime-and-composite-numbers.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_prime-and-composite-numbers.pdf,YES,YES,"Classify whole numbers as odd, even, prime and composite in different situations",,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Classification of Numbers,Rational and Irrational Numbers,numbers-and-algebra,real-numbers,classification-of-numbers,rational-and-irrational-numbers,numbers-and-algebra/real-numbers/rational-and-irrational-numbers.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_rational-and-irrational-numbers.pdf,YES,YES,Classify real numbers as rational and irrational in different situations,,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Reciprocals using Division,numbers-and-algebra,real-numbers,reciprocals-of-numbers,reciprocals-using-division,numbers-and-algebra/real-numbers/reciprocals-using-division.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_reciprocals-using-division.pdf,YES,YES,Determine the reciprocal of real numbers by division,,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Reciprocals Using Tables and Calculators,numbers-and-algebra,real-numbers,reciprocals-of-numbers,reciprocals-using-tables-and-calculators,numbers-and-algebra/real-numbers/reciprocals-using-tables-and-calculators.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_reciprocals-using-tables-and-calculators.pdf,YES,YES,Determine the reciprocal of real numbers by use of mathematical tables and calculators,,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Using Reciprocals,numbers-and-algebra,real-numbers,reciprocals-of-numbers,using-reciprocals,numbers-and-algebra/real-numbers/using-reciprocals.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_using-reciprocals.pdf,YES,YES,Apply reciprocal of real numbers in mathematical computations,Promote the use of real numbers in day-to-day activities,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Indices and Logarithms,Indices,Introduction to Indices,numbers-and-algebra,indices-and-logarithms,indices,introduction-to-indices,numbers-and-algebra/indices-and-logarithms/introduction-to-indices.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_introduction-to-indices.pdf,YES,YES,Express numbers in index form,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Indices,Laws of Indices,numbers-and-algebra,indices-and-logarithms,indices,laws-of-indices,numbers-and-algebra/indices-and-logarithms/laws-of-indices.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_laws-of-indices.pdf,YES,YES,Derive the laws of indices using factors,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Indices,Zero and Negative Indices,numbers-and-algebra,indices-and-logarithms,indices,zero-and-negative-indices,numbers-and-algebra/indices-and-logarithms/zero-and-negative-indices.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_zero-and-negative-indices.pdf,YES,YES,Derive the laws of indices using factors,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Indices,Indices in Real-Life,numbers-and-algebra,indices-and-logarithms,indices,indices-in-real-life,numbers-and-algebra/indices-and-logarithms/indices-in-real-life.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_indices-in-real-life.pdf,YES,YES,Apply the laws of indices in different situations,,,,https://ecampus.idems.international/course/view.php?id=573
