Chapter,Section,Subsection,Subsubsection,In Syllabus,Textbook Coverage,Changes Needed to Textbook,Changes Assigned To,Lesson Name,Textbook Ready for Lesson,Lesson Plan Status,Step by Step Guide Status,LO 1,LO 2,LO 3,LO 4,Lesson activity not in book
Numbers and Algebra,Real Numbers,Classification of Numbers,Even and Odd Numbers,Yes,Covered,,,Even and Odd Numbers,Yes,YES,YES,"Classify whole numbers as odd, even, prime and composite in different situations",,,,No
Numbers and Algebra,Real Numbers,Classification of Numbers,Prime and Composite Numbers,Yes,Covered,,,Prime and Composite Numbers,Yes,YES,YES,"Classify whole numbers as odd, even, prime and composite in different situations",,,,No
Numbers and Algebra,Real Numbers,Classification of Numbers,Rational and Irrational Numbers,Yes,Covered,,,Rational and Irrational Numbers,Yes,YES,YES,Classify real numbers as rational and irrational in different situations,,,,
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Reciprocals using Division,Yes,Covered,,,Reciprocals using Division,Yes,YES,YES,Determine the reciprocal of real numbers by division,,,,
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Reciprocals Using Tables and Calculators,Yes,Covered,,,Reciprocals Using Tables and Calculators,Yes,YES,YES,Determine the reciprocal of real numbers by use of mathematical tables and calculators,,,,
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Using Reciprocals,Yes,Covered,,,Using Reciprocals,Yes,YES,YES,Apply reciprocal of real numbers in mathematical computations,Promote the use of real numbers in day-to-day activities,,,
Numbers and Algebra,Indices and Logarithms,Indices,Introduction to Indices,Yes,Covered,,,Introduction to Indices,Yes,YES,YES,Express numbers in index form,,,,
Numbers and Algebra,Indices and Logarithms,Indices,Laws of Indices,Yes,Covered,,,Laws of Indices,Yes,YES,YES,Derive the laws of indices using factors,,,,
Numbers and Algebra,Indices and Logarithms,Indices,Zero and Negative Indices,Yes,Covered,,,Zero and Negative Indices,Yes,YES,YES,Derive the laws of indices using factors,,,,
Numbers and Algebra,Indices and Logarithms,Indices,Indices in Real-Life,Yes,Covered,,,Indices in Real-Life,Yes,YES,YES,Apply the laws of indices in different situations,,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Introduction to Logarithms,Yes,Covered,,,Introduction to Logarithms,Yes,YES,YES,Relate index notation to logarithm notation to base 10,,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Finding Logarithms Using Tables and Calculators,Yes,Covered,Make sure this just uses tables,,Finding Logarithms Using Tables and Calculators,Yes,YES,YES,Determine common logarithms of numbers from mathematical tables and calculators,,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Antilogarithms,Yes,Covered,Activity (already in lesson plan) and key takeaway need to be added ,,Antilogarithms,Yes,YES,YES,Determine common logarithms of numbers from mathematical tables and calculators,,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms of Products and Ratios,Yes,Covered,,,Logarithms of Products and Ratios,Yes,YES,YES,"Apply common logarithms in multiplication, division, powers and roots of numbers",,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Using logarithms to compute Products and Ratios,Yes,Covered,,,Using logarithms to compute Products and Ratios,Yes,YES,YES,"Apply common logarithms in multiplication, division, powers and roots of numbers",,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms of Powers and Roots,Yes,Covered,,,Logarithms of Powers and Roots,Yes,NO,NO,"Apply common logarithms in multiplication, division, powers and roots of numbers",,,,
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms in Real-Life,Yes,Covered,,,Logarithms in Real-Life,Yes,YES,YES,Appreciate the use of indices and common logarithms in mathematical computations,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Expressions,Forming Quadratic Expressions by Multiplying,Yes,Covered,,,Forming Quadratic Expressions by Multiplying,Yes,NO,YES,Form quadratic expressions from different situations,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Expressions,Forming Quadratic Expressions in Real-Life,Yes,Not Covered,Needs activity and key takeaway,,Forming Quadratic Expressions in Real-Life,Yes,NO,NO,Form quadratic expressions from different situations,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Identities,Perfect Squares,Yes,Covered,Add in derivation from area / image,Murunga,Perfect Squares,Yes,YES,YES,Derive the quadratic identities from the concept of area,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Identities,Difference of Squares,Yes,Covered,Clean up activity image,Murunga,Difference of Squares,Yes,NO,NO,Derive the quadratic identities from the concept of area,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Identities,Quadratic Identities in Numerical Cases,Yes,Covered,"A little more exposition, make sure there aren't exercises in the subsection instead of the subsubsection",,Quadratic Identities in Numerical Cases,Yes,YES,YES,Apply quadratic identities in numerical cases,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Factorising Quadratics,Factorising Monic Quadratics,Yes,Covered,"Explain what monic / non-monic quadratics are, clean up exposition",,Factorising Monic Quadratics,Yes,YES,YES,Factorise quadratic expressions from different situations,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Factorising Quadratics,Factorising Non-Monic Quadratics,Yes,Covered,,,Factorising Non-Monic Quadratics,Yes,YES,YES,Factorise quadratic expressions from different situations,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Formation of Quadratic Equations,Yes,Covered,,,Formation of Quadratic Equations,Yes,YES,YES,Form quadratic equations in different situations,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Solving Quadratic Equations,Yes,Partially Covered,More detail: why (x-a)(x-b) = 0 implies either x-a = 0 or (and) x -b = 0,Monica,Solving Quadratic Equations,Yes,YES,YES,Solve quadratic equations by factorisation,,,,
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Quadratic Equations in Real-Life,Yes,Covered,,,Quadratic Equations in Real-Life,Yes,YES,YES,Apply quadratic equations to real life situations,Explore the use of quadratic equations in real life situations,,,
Measurements and Geometry,Similarity and Enlargement,Introduction to Similarity,,Yes,Covered,,,Introduction to Similarity,Yes,YES,YES,Determine the centre of enlargement and the linear scale factor for similar figures,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,
Measurements and Geometry,Similarity and Enlargement,Enlargements of Objects,Positive Enlargements ,Yes,Covered,,,Positive Enlargements ,Yes,YES,YES,Construct the image of an object under an enlargement given the centre and the linear scale factor,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,
Measurements and Geometry,Similarity and Enlargement,Enlargements of Objects,Negative Enlargements,Yes,Covered,Move content from previous subsubsection,Monica,Negative Enlargements,Yes,YES,YES,Construct the image of an object under an enlargement given the centre and the linear scale factor,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,
Measurements and Geometry,Similarity and Enlargement,Scale Factors,Area Scale Factors,Yes,Covered,Could really use formatting touch up,,Area Scale Factors,Yes,YES,YES,Determine the area and volume scale factor of different figures and solids,"Relate linear scale factor, area scale factor, and volume scale factor in enlargements",Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,
Measurements and Geometry,Similarity and Enlargement,Scale Factors,Volume Scale Factors,Yes,Covered,,,Volume Scale Factors,Yes,YES,YES,Determine the area and volume scale factor of different figures and solids,"Relate linear scale factor, area scale factor, and volume scale factor in enlargements",Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,
Measurements and Geometry,Similarity and Enlargement,Similarity and Enlargement in Real-Life,,Yes,Covered,Could really use formatting touch up,,Similarity and Enlargement in Real-Life,Yes,YES,YES,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,,
Measurements and Geometry,Reflection and Congruence,Properties of Symmetry and Reflection,,Yes,Covered,,,Properties of Symmetry and Reflection,Yes,YES,YES,Identify lines of symmetry in plane figures,Determine the properties of reflection in different situations,,,
Measurements and Geometry,Reflection and Congruence,Reflecting Objects,,Yes,Covered,,,Reflecting Objects,Yes,YES,YES,Draw an image given an object and a mirror line on plane surface and Cartesian plane,,,,
Measurements and Geometry,Reflection and Congruence,Equations of Mirror Lines,,Yes,Covered,,,Equations of Mirror Lines,Yes,YES,YES,Determine the equation of the mirror line given an object and its image,,,,
Measurements and Geometry,Reflection and Congruence,Congruence in Triangles,,Yes,Partially Covered,"Move key takeaway out of activity box, give more detail for example",Sheila,Congruence in Triangles,Yes,YES,YES,Carry out congruence tests for triangles,,,,
Measurements and Geometry,Reflection and Congruence,Reflection and Congruence in Real-Life,,Yes,Covered,authored,Sheila,Reflection and Congruence in Real-Life,Yes,YES,YES,Promote use of reflection and congruence in real-life situations,,,,
Measurements and Geometry,Rotation,Properties of Rotation,,Yes,Covered,,,Properties of Rotation,Yes,YES,YES,Determine the properties of rotation in different situations,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotating Objects,,Yes,Covered,"Needs to be written, or taken from previous subsubsection",,Rotating Objects,Yes,NO,NO,Rotate an object given the centre and angle of rotation on a plane surface and the Cartesian plane,Determine the centre and angle of rotation given an object and its image,,,
Measurements and Geometry,Rotation,Rotational Symmetry,Rotational Symmetry of Plane Figures,Yes,Partially Covered,Needs better exercises,Murunga,Rotational Symmetry of Plane Figures,Yes,YES,YES,Determine the order of rotational symmetry of plane figures,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotational Symmetry,Rotational Symmetry of Solids,Yes,Covered,More exercises,,Rotational Symmetry of Solids,Yes,YES,YES,Determine the axis and order of rotational symmetry in solids,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotation and Congruence,,Yes,Covered,More exercises,,Rotation and Congruence,Yes,YES,YES,Deduce congruence from rotation,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotation in Real-Life,,Yes,Covered,,Murunga,Rotation in Real-Life,Yes,NO,NO,Appreciate the application of rotation in real-life situations,,,,
Measurements and Geometry,Trigonometry 1,Tangents of Acute Angles,,Yes,Covered,,,Tangents of Acute Angles,Yes,YES,YES,"Relate the sine, cosine and tangent of acute angles",,,,
Measurements and Geometry,Trigonometry 1,Sines and Cosines of Acute Angles,,Yes,Covered,,,Sines and Cosines of Acute Angles,Yes,YES,YES,"Relate the sine, cosine and tangent of acute angles",,,,
Measurements and Geometry,Trigonometry 1,Sines and Cosines of Complementary Angles,,Yes,Partially Covered,"Geometric example for why sin(90-x) = cos(x) etc, key takeaway",,Sines and Cosines of Complementary Angles,Yes,NO,NO,Relate sines and cosines of complementary angles,,,,
Measurements and Geometry,Trigonometry 1,Trigonometric Ratios of Special Angles,"Special Angles: 0, 45, and 90 Degrees",Yes,Covered,key takeaway,,"Special Angles: 0, 45, and 90 Degrees",Yes,NO,NO,"Determine trigonometric ratios of special angles: 30, 45, 60, and 90 degrees using triangles",,,,
Measurements and Geometry,Trigonometry 1,Trigonometric Ratios of Special Angles,Special Angles: 30 and 60 Degrees,Yes,Covered,,,Special Angles: 30 and 60 Degrees,Yes,NO,NO,"Determine trigonometric ratios of special angles: 30, 45, 60, and 90 degrees using triangles",,,,
Measurements and Geometry,Trigonometry 1,Trigonometry Using Tables and Calculators,,Yes,Covered,,,Trigonometry Using Tables and Calculators,Yes,YES,YES,Determine the trigonometric ratios of acute angles from mathematical tables and calculators,,,,
Measurements and Geometry,Trigonometry 1,Angles of Elevation and Depression,Angles of Elevation,Yes,Covered,,,Angles of Elevation,Yes,YES,YES,Apply trigonometric ratios to angles of elevation and depression,,,,
Measurements and Geometry,Trigonometry 1,Angles of Elevation and Depression,Angles of Depression,Yes,Covered,,,Angles of Depression,Yes,NO,NO,Apply trigonometric ratios to angles of elevation and depression,,,,
Measurements and Geometry,Trigonometry 1,Trigonometry in Real-Life,,Yes,Covered,,,Trigonometry in Real-Life,Yes,NO,NO,Reflect on the use of trigonometry in real-life situations,,,,
Measurements and Geometry,Area of Polygons,Area of Triangles,Using Two Sides and an Angle,Yes,Covered,Formatting needs to be improved,,Using Two Sides and an Angle,Yes,YES,YES,Derive the formula for the area of a triangle given two sides and an included angle,Work out the area of a triangle given two sides and an included angle,,,
Measurements and Geometry,Area of Polygons,Area of Triangles,Heron's Formula,Yes,Partially Covered,We should prove heron's fomula,Ben,Heron's Formula,Yes,NO,NO,Determine the area of a triangle using Heron's formula,,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Squares and Rectangles,Yes,Covered,,,Area of Squares and Rectangles,Yes,NO,NO,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Parallelograms,Yes,Covered,,,Area of Parallelograms,Yes,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Rhombuses,Yes,Covered,,,Area of Rhombuses,Yes,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Trapeziums,Yes,Covered,,,Area of Trapeziums,Yes,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Kites,Yes,Covered,,,Area of Kites,Yes,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Heptagons,Yes,Covered,,,Area of Heptagons,Yes,YES,YES,Work out the area of regular heptagon and octagon,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Octogons,Yes,Covered,,,Area of Octogons,Yes,NO,NO,Work out the area of regular heptagon and octagon,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Nonagons,Extension,Partially Covered,Needs to be re-added from file,,,,EXTENSION,EXTENSION,,,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Decagons,Extension,Partially Covered,Needs to be re-added from file,,,,EXTENSION,EXTENSION,,,,,
Measurements and Geometry,Area of Polygons,Area of Irregular Polygons,,Yes,Covered,,,Area of Irregular Polygons,Yes,YES,YES,Determine the area of irregular polygons in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Polygons in Real-Life,,Yes,Covered,,,Area of Polygons in Real-Life,Yes,NO,NO,Explore the area of polygons as used in real-life situations,,,,
Measurements and Geometry,Area of a Part of a Circle,Area of an Annulus,,Yes,Covered,,,Area of an Annulus,Yes,YES,YES,Determine the area of an annulus in different situations,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Sectors,,Yes,Covered,,,Area of Sectors,Yes,YES,YES,Work out the area of a sector of a circle in real-life situations,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Annular Sectors,,Yes,Covered,,,Area of Annular Sectors,Yes,YES,YES,Determine the area of an annular sector in different situations,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Segments,,Yes,Covered,,,Area of Segments,Yes,YES,YES,Work out the area of a segment of a circle,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Common Regions Between Circles,,Yes,Covered,,,Area of Common Regions Between Circles,Yes,YES,YES,Determine the area of common region between two intersecting circles,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
